1.36 0.00445204 -0.0140467 0.00454265 1.02035
1.37 0.00442028 -0.0139136 0.00449605 1.01714
1.38 0.00438842 -0.0137815 0.00444989 1.01401
1.39 0.00435648 -0.0136503 0.00440417 1.01095
1.4 0.00432446 -0.0135201 0.00435889 1.00796
1.41 0.00429238 -0.0133908 0.00431404 1.00505
1.42 0.00426025 -0.0132625 0.00426961 1.0022
1.43 0.00422809 -0.0131352 0.00422562 0.999416
1.44 0.0041959 -0.0130088 0.00418204 0.996699
1.45 0.00416369 -0.0128835 0.00413889 0.994043
1.46 0.00413149 -0.012759 0.00409615 0.991448
1.47 0.00409929 -0.0126356 0.00405383 0.988911
1.48 0.0040671 -0.0125131 0.00401192 0.986431
1.49 0.00403494 -0.0123915 0.00397041 0.984006
1.5 0.00400282 -0.012271 0.0039293 0.981635
1.51 0.00397073 -0.0121514 0.0038886 0.979315
1.52 0.0039387 -0.0120327 0.00384829 0.977046
1.53 0.00390673 -0.011915 0.00380838 0.974826
1.54 0.00387482 -0.0117983 0.00376886 0.972654
1.55 0.00384298 -0.0116826 0.00372972 0.970528
1.56 0.00381123 -0.0115677 0.00369097 0.968447
1.57 0.00377956 -0.0114539 0.00365261 0.96641
1.58 0.00374798 -0.011341 0.00361461 0.964416
1.59 0.0037165 -0.011229 0.003577 0.962463
1.6 0.00368513 -0.011118 0.00353975 0.960551
1.61 0.00365386 -0.0110079 0.00350288 0.958678
1.62 0.00362271 -0.0108987 0.00346637 0.956843
1.63 0.00359168 -0.0107905 0.00343022 0.955046
1.64 0.00356077 -0.0106832 0.00339443 0.953285
1.65 0.00352999 -0.0105769 0.00335899 0.951559
1.66 0.00349934 -0.0104714 0.00332391 0.949869
1.67 0.00346883 -0.0103669 0.00328918 0.948211
1.68 0.00343846 -0.0102633 0.0032548 0.946587
1.69 0.00340823 -0.0101606 0.00322076 0.944994
1.7 0.00337815 -0.0100588 0.00318706 0.943433
1.71 0.00334823 -0.00995792 0.0031537 0.941902
1.72 0.00331845 -0.00985792 0.00312068 0.940401
1.73 0.00328883 -0.00975881 0.00308798 0.938929
1.74 0.00325937 -0.00966059 0.00305562 0.937485
1.75 0.00323008 -0.00956325 0.00302358 0.936069
1.76 0.00320095 -0.00946678 0.00299186 0.93468
1.77 0.00317198 -0.00937119 0.00296046 0.933317
1.78 0.00314318 -0.00927646 0.00292938 0.93198
1.79 0.00311456 -0.0091826 0.00289862 0.930668
1.8 0.00308611 -0.00908959 0.00286817 0.92938
1.81 0.00305783 -0.00899743 0.00283802 0.928117
1.82 0.00302972 -0.00890612 0.00280818 0.926877
1.83 0.0030018 -0.00881564 0.00277865 0.92566
1.84 0.00297406 -0.00872601 0.00274941 0.924465
1.85 0.00294649 -0.0086372 0.00272047 0.923292
1.86 0.00291911 -0.00854921 0.00269183 0.922141
1.87 0.00289191 -0.00846205 0.00266348 0.92101
1.88 0.00286489 -0.0083757 0.00263541 0.9199
1.89 0.00283806 -0.00829015 0.00260764 0.91881
1.9 0.00281141 -0.00820541 0.00258014 0.91774
1.91 0.00278495 -0.00812147 0.00255293 0.916689
1.92 0.00275868 -0.00803831 0.002526 0.915656
1.93 0.00273259 -0.00795595 0.00249934 0.914642
1.94 0.00270669 -0.00787436 0.00247296 0.913646
1.95 0.00268098 -0.00779354 0.00244685 0.912668
1.96 0.00265546 -0.0077135 0.002421 0.911706
1.97 0.00263013 -0.00763421 0.00239542 0.910762
1.98 0.00260499 -0.00755569 0.00237011 0.909834
1.99 0.00258003 -0.00747791 0.00234505 0.908923
2.0 0.00255527 -0.00740088 0.00232025 0.908027
2.01 0.00253069 -0.00732459 0.00229571 0.907147
2.02 0.00250631 -0.00724904 0.00227142 0.906282
2.03 0.00248211 -0.00717421 0.00224738 0.905431
2.04 0.00245811 -0.00710011 0.00222359 0.904596
2.05 0.00243429 -0.00702672 0.00220005 0.903775
2.06 0.00241066 -0.00695405 0.00217675 0.902968
2.07 0.00238722 -0.00688208 0.00215369 0.902174
2.08 0.00236397 -0.00681082 0.00213087 0.901395
2.09 0.0023409 -0.00674024 0.00210828 0.900628
2.1 0.00231802 -0.00667036 0.00208593 0.899874
2.11 0.00229533 -0.00660116 0.00206381 0.899134
2.12 0.00227283 -0.00653264 0.00204192 0.898405
2.13 0.00225051 -0.00646479 0.00202026 0.897689
2.14 0.00222838 -0.00639761 0.00199882 0.896985
2.15 0.00220643 -0.00633108 0.00197761 0.896293
2.16 0.00218467 -0.00626522 0.00195661 0.895612
2.17 0.00216309 -0.0062 0.00193584 0.894942
2.18 0.00214169 -0.00613543 0.00191528 0.894284
2.19 0.00212048 -0.0060715 0.00189494 0.893637
2.2 0.00209944 -0.0060082 0.0018748 0.893
2.21 0.00207859 -0.00594553 0.00185488 0.892374
2.22 0.00205792 -0.00588348 0.00183517 0.891759
2.23 0.00203742 -0.00582205 0.00181566 0.891153
2.24 0.00201711 -0.00576124 0.00179635 0.890557
2.25 0.00199697 -0.00570103 0.00177725 0.889971
2.26 0.00197701 -0.00564142 0.00175834 0.889395
2.27 0.00195722 -0.0055824 0.00173964 0.888829
2.28 0.00193761 -0.00552398 0.00172113 0.888271
2.29 0.00191818 -0.00546614 0.00170281 0.887723
2.3 0.00189891 -0.00540889 0.00168469 0.887183
2.31 0.00187982 -0.00535221 0.00166675 0.886653
2.32 0.0018609 -0.0052961 0.001649 0.886131
2.33 0.00184215 -0.00524055 0.00163144 0.885617
2.34 0.00182357 -0.00518557 0.00161407 0.885112
